Blockchain,Date,Type,Swaps,Swappers,Volume,AmountAverage,AmountMedian
Ethereum,2022-12-12,Stablecoins,14883,373,497547524.3,30731.78038,1000
Flow,2022-12-12,Native Coin,134,71,24479.56684,181.3301247,19.30007135
Flow,2022-12-12,Other Tokens,75,10,7721.021551,102.946954,67.91007136
Flow,2022-12-12,Stablecoins,308,119,84165.89912,193.041053,45.91861188
Gnosis,2022-12-12,Other Tokens,1849,266,121125.9016,65.50887055,1.77417607
Gnosis,2022-12-12,Stablecoins,144,64,7948.983094,55.20127148,2.829010792
NEAR,2022-12-12,Native Coin,725,192,331941.8061,452.85376,35.30994413
NEAR,2022-12-12,Other Tokens,427,71,1445309.694,3299.793822,1.355846899
NEAR,2022-12-12,Stablecoins,646,134,498323.1547,653.1102944,35.90778127
Optimism,2022-12-12,Native Coin,10003,5778,5094671.437,509.3143494,29.96323456
Optimism,2022-12-12,Other Tokens,5365,2413,3149199.675,586.9896878,4.916669323
Optimism,2022-12-12,Stablecoins,28213,10917,30444656.24,1079.100281,22.00753156
Osmosis,2022-12-12,Native Coin,6866,1468,1697530.189,247.1291583,9.823782637
Osmosis,2022-12-12,Other Tokens,8539,3514,2892777.549,338.772403,18.24143486
Osmosis,2022-12-12,Stablecoins,3060,1006,1693707.419,553.4991565,42.541033
Polygon,2022-12-12,Other Tokens,24970,8433,15055966.73,602.9622239,8.843428524
Polygon,2022-12-12,Stablecoins,49943,16890,30824926.31,617.2021366,20.55689122
Solana,2022-12-12,Native Coin,15232,2557,1853578.074,121.689737,17.43634198
Solana,2022-12-12,Other Tokens,12235,1682,1165698.177,95.23677913,9.504899192
Solana,2022-12-12,Stablecoins,75787,2662,3987792.008,52.61425208,0.519817099
THORChain,2022-12-12,Native Coin,9466,259,6360383.266,663.9924069,413.4109936
THORChain,2022-12-12,Other Tokens,6873,227,4495841.574,654.1308852,411.7832526
THORChain,2022-12-12,Stablecoins,2689,67,1620588.773,602.6734003,458.8202682
