Blockchain,Date,Marketplace,Sales,Buyers,NFTs,Collections,Volume,PriceAverage,PriceMedian,PriceMax,PriceFloor
NEAR,2022-12-12,TradePort,2,2,2,2,82.21848454,41.10924227,41.10924227,75.76997595,6.448508592
Optimism,2022-12-12,quixotic,4108,3167,2901,110,52147.46132,11.90037912,12.47,400.27,0.12
Polygon,2022-12-12,BitKeep,322,282,662,22,52215.625,62.53368263,80.92826029,130.7302666,0.889321542
Polygon,2022-12-12,NFTKEY,3,2,3,2,19.56507392,6.521691306,1.778643083,16.89710929,0.889321542
Polygon,2022-12-12,Others,1979,587,1834,35,19751.83144,9.836569442,11.56118004,799.500066,0.889321542
Polygon,2022-12-12,PlayDapp,460,138,2209,7,6908.249736,3.123078542,2.667964625,286.3615364,0.889321542
Polygon,2022-12-12,Seaport,1171,521,4667,104,33807.55841,7.136913322,2.667964625,569.1657867,0.889321542
Polygon,2022-12-12,tofuNFT,191,91,2366,19,12808.89816,5.413735488,7.114572333,151.1846621,0.889321542
Solana,2022-12-12,CoralCube,62,48,62,18,2052.233172,33.10053503,1.838362605,1106.686287,0.132262664
Solana,2022-12-12,Exchange.Art,18,17,18,0,3439.339386,191.0744103,71.40588167,1449.328606,1.317451691
Solana,2022-12-12,Hadeswap,877,402,788,77,133516.4527,151.0367112,58.39144957,2073.063328,1.172042124
Solana,2022-12-12,Hyperspace,101,36,101,13,8681.850331,85.95891417,0.235823853,1119.833938,0.092682726
Solana,2022-12-12,Magic Eden,28413,6631,23379,934,1923079.709,67.68309255,11.19833938,10236.59964,1.32E-07
Solana,2022-12-12,OpenSea,36,16,36,22,286.3838281,7.955106335,1.383324276,118.5706522,0.520393418
Solana,2022-12-12,Solanart,54,21,51,15,3336.852183,61.79355895,13.10864433,777.2964979,1.317451691
Solana,2022-12-12,Yawww,18,7,18,5,198.9352054,11.05195586,7.904710148,43.47590582,0.263490338
Algorand,2022-12-11,AB2 Gallery,7,1,5,1,10.4536807,1.493382957,0.891328263,4.342368458,0.411382275
Algorand,2022-12-11,ALGOxNFT,611,222,617,61,5485.06162,8.477684112,3.65901679,296.8811037,0.00079991
Algorand,2022-12-11,Atomic Swaps,4,4,4,1,49.13778438,12.2844461,1.82847994,45.48059596,0.000228546
Algorand,2022-12-11,Nfdomains,56,12,55,0,1338.592214,23.90343239,0.228545708,383.3854257,0.228545708
Algorand,2022-12-11,Rand Gallery,569,145,501,76,15286.03699,26.86473987,12.5702425,685.637125,0.228545708
Algorand,2022-12-11,Shufl,1,1,1,1,3.428185625,3.428185625,3.428185625,3.428185625,3.428185625
Arbitrum,2022-12-11,Others,62,60,60,11,76456.20542,1176.249314,1.43423171,25434.5648,0.007323153
Arbitrum,2022-12-11,Seaport,738,674,801,52,14592.58356,17.45524349,16.85039918,635.8641199,1.27173E-06
Arbitrum,2022-12-11,tofuNFT,307,239,301,31,3969.791977,12.93091849,0.305214778,540.4845019,0.000254346
