Blockchain,DEX,Days,Swaps,Swappers,Volume,AmountAverage,AmountMedian,Swaps/Day,Swappers/Day,Volume/Day,Swaps/Swapper,Volume/Swapper
BSC,Maneki Inu,1,1,1,19.58260806,19.58260806,19.58260806,1,1,20,1,20
BSC,Orion,8,93584,27,107055249.5,1143.948212,430.4150796,11698,3,13381906,3466,3965009
BSC,Moorex,1,3,2,0.125150057,0.041716686,0.048094835,3,2,0,2,0
BSC,Sparklab,2,2,2,0.000220292,0.000110146,0.000110146,1,1,0,1,0
BSC,Zuna,2,2,2,63.45673042,31.72836521,31.72836521,1,1,32,1,32
BSC,Bodatoken,6,8,4,6.91847439,0.864809299,0.046478455,1,1,1,2,2
BSC,Yieldzilla,2,3,3,15.72795433,5.242651442,1.504208481,2,2,8,1,5
BSC,Futura Finance,8,20,3,64.98496551,3.249248275,3.682199518,3,0,8,7,22
BSC,W3Swap,8,3563,1494,2297013.024,644.6851035,191.9772963,445,187,287127,2,1537
BSC,The Landlord,1,2,1,0.005816286,0.002908143,0.002908143,2,1,0,2,0
BSC,Income Island,1,1,1,6.30430271,6.30430271,6.30430271,1,1,6,1,6
BSC,Go Bnb,1,1,1,15.37732668,15.37732668,15.37732668,1,1,15,1,15
BSC,Rewardeum,3,4,2,0.566661092,0.141665273,0.179034144,1,1,0,2,0
BSC,MDEX,8,19,9,1104.875622,58.15134853,15.03641758,2,1,138,2,123
BSC,Zooswap,8,10512,822,1543276.614,146.8109412,179.3509606,1314,103,192910,13,1877
BSC,Others,8,420355,107217,199951685.1,475.6733834,47.55088069,52544,13402,24993961,4,1865
BSC,PancakeSwap,8,402069,59970,835909689.1,2079.020489,203.6840155,50259,7496,104488711,7,13939
BSC,Zombie Inu,8,44,44,185.6760731,4.219910752,0.686762273,6,6,23,1,4
BSC,Transhuman Coin,7,11,9,25.82557728,2.347779752,1.832179893,2,1,4,1,3
BSC,Hamster,8,80,69,9.227908451,0.115348856,0.022070639,10,9,1,1,0
BSC,Bullish Af,1,1,1,0.002691669,0.002691669,0.002691669,1,1,0,1,0
BSC,Rougecoin,1,1,1,6.65357E-06,6.65357E-06,6.65357E-06,1,1,0,1,0
