Blockchain,Day,Hour,Sales,Marketplaces,Buyers,NFTs,Collections,Volume,PriceAverage,PriceMedian,PriceMax,PriceFloor
Optimism,1.Monday,13,364,1,292,382,33,4593.78,10.25397321,7.5,212.38,0.12
BSC,1.Monday,13,68,9,20,692,12,219266.0783,316.8584947,289.7854167,3477.425,279.7529167
Algorand,1.Monday,13,109,3,46,110,19,2359.305269,20.87880769,11.97472376,309.1599742,0.007116122
Avalanche,1.Monday,13,30,9,24,35,18,4064.635657,106.9640962,14.09711667,1466.500217,0.106393333
Polygon,1.Monday,13,301,12,202,973,43,12249.05258,12.46088768,6.225250792,569.1657867,0.889321542
Ethereum,1.Monday,13,2515,7,1962,2673,242,1497733.633,382.4651769,50.935,67462.74,0.13
Optimism,1.Monday,14,385,1,326,335,32,4626.682592,10.51518771,12.52,93.89,0.13
Flow,1.Monday,14,1245,8,471,1079,19,17932.24194,14.40340718,3.9,2750,0.25
Avalanche,1.Monday,14,34,7,31,69,25,44735.12453,639.0732076,1127.510217,1316.6175,0.132648261
Algorand,1.Monday,14,58,4,33,55,15,1233.834595,21.27301025,13.71625238,326.5774375,0.023949012
NEAR,1.Monday,14,75,2,20,28,7,359.918232,4.79890976,0.037089781,70.93359451,0.018184794
Ethereum,1.Monday,14,2512,6,1947,2864,263,2005049.554,500.7616268,48.37,180497.8,1.30E-09
Solana,1.Monday,14,2821,7,861,2614,271,161695.2199,57.3184048,7.514569922,4174.761068,0.083495221
BSC,1.Monday,14,64,8,25,548,14,180195.2096,328.8233752,289.7854167,2897.854167,279.7529167
Polygon,1.Monday,14,348,12,206,1723,42,67213.90815,38.71768903,5.55597425,183.3471503,0.889321542
Arbitrum,1.Monday,14,152,4,135,202,27,1619.627041,8.017955648,3.294209166,82.28173069,0.075235012
Polygon,1.Monday,15,371,16,180,1226,44,10051.82309,8.158947314,1.851991417,509.2976396,0.889321542
BSC,1.Monday,15,44,7,20,267,10,98221.43833,367.8705556,289.7854167,1398.764583,279.7529167
Arbitrum,1.Monday,15,171,4,144,217,26,2941.207362,13.49177689,4.227752468,486.8321024,0.001641424
Solana,1.Monday,15,3295,8,1076,2794,291,262660.9501,79.69082224,15.8094203,4874.571258,0.065872585
NEAR,1.Monday,15,32,1,20,32,10,1002.977767,31.34305523,9.586174536,261.4411237,0.019660373
Flow,1.Monday,15,1379,6,523,1215,17,17296.60923,12.54286384,3,5150,1
Ethereum,1.Monday,15,2462,7,1938,2671,261,4341069.131,1146.61097,42.795,266015.4,0.1
Algorand,1.Monday,15,44,4,23,44,16,1081.607889,24.58199748,2.299242567,527.0284915,0.023949012
Optimism,1.Monday,15,257,1,214,271,39,3952.158096,12.62670318,12.38,162.5944225,0.13
Avalanche,1.Monday,15,28,8,25,29,20,3074.638474,96.08245232,7.979367008,1282.266522,0.014738696
Optimism,1.Monday,16,244,1,140,229,20,2940.536625,11.22342223,2.58,400.27,0.27
Ethereum,1.Monday,16,3020,7,2302,2988,273,2815285.148,644.3774658,56.2,259472.6,1.26E-11
Arbitrum,1.Monday,16,117,4,96,121,33,3960.556438,32.46357736,2.33880038,954.447148,0.012811371
Algorand,1.Monday,16,84,3,36,83,24,1000.415682,11.90971051,4.245615547,350.7380833,0.021771829
Avalanche,1.Monday,16,33,9,30,57,17,5761.367605,90.02136883,20.70786739,452.5573425,0.132991667
Solana,1.Monday,16,2754,8,1062,2672,316,234788.5093,85.16086664,10.8294529,5399.357647,0.005269807
BSC,1.Monday,16,11,4,6,11,4,3457.36,288.1133333,289.7854167,289.7854167,279.7529167
Flow,1.Monday,16,1474,8,546,1306,19,16982.90587,11.52164578,3,950,0.3
Polygon,1.Monday,16,295,16,177,813,48,4300.908372,5.225891096,2.667964625,225.0169571,0.889321542
NEAR,1.Monday,16,28,2,16,28,7,850.236662,30.36559507,12.24157557,88.88998207,0.368248538
Ethereum,1.Monday,17,3376,7,2516,3284,307,3246676.933,645.590959,40.26,96922.28,0.13
Flow,1.Monday,17,1671,10,646,1512,22,23520.78032,14.07587093,3,3600,9.05819E-06
Solana,1.Monday,17,2773,8,1111,2622,324,234329.822,84.41276009,21.45615813,5622.011571,0.000139159
Gnosis,1.Monday,17,2,1,2,2,1,7.541793049,3.770896524,3.770896524,3.770896524,3.770896524
Polygon,1.Monday,17,208,14,119,554,49,2609.005595,4.650633858,1.851991417,514.8536138,0.889321542
Optimism,1.Monday,17,192,1,137,173,28,2709.745549,14.11325807,10.035,315.52,0.13
Arbitrum,1.Monday,17,109,4,99,134,20,4483.092658,33.20809377,18.93414476,1665.478245,0.075235012
NEAR,1.Monday,17,13,2,8,13,4,243.9345404,18.76419542,10.45764495,78.43233712,0.159095639
BSC,1.Monday,17,10,5,8,20,6,5755.578333,287.7789167,289.7854167,289.7854167,279.7529167
Avalanche,1.Monday,17,87,10,52,105,23,9156.378179,80.31910684,48.34292174,571.8613913,1.994875
Algorand,1.Monday,17,74,4,39,74,21,1321.865179,17.86304296,7.622317391,544.0782286,0.140053469
Flow,1.Monday,18,1933,9,729,1752,23,29424.9469,15.22242468,3,1888,8.776E-06
Avalanche,1.Monday,18,63,11,105,187,22,5611.003712,29.37698279,1.010462099,1105.402174,0.664958333
Optimism,1.Monday,18,98,1,89,83,26,1325.99,13.39383838,12.52,112.87,0.13
Solana,1.Monday,18,2484,8,1060,2379,299,207751.2222,83.6021015,13.70149759,5357.610037,0.001317452
Ethereum,1.Monday,18,3929,7,2747,3429,280,2327196.278,419.9957189,53.9,87116.09,0.02
