Blockchain,Date,DEX,Swaps,Swappers,Volume,AmountAverage,AmountMedian
Polygon,2022-12-14,Cafeswap,6,3,18.70802185,3.118003641,2.022145412
Polygon,2022-12-14,Dfyn Network,170,53,31668.90038,186.2876493,32.84962482
Polygon,2022-12-14,Kyberswap,882,3,436549.5425,494.9541298,288.7841959
Polygon,2022-12-14,Others,11271,1432,21875497.22,1940.865692,46.27154725
Polygon,2022-12-14,Polycat,5,2,14.62581227,2.925162453,0.000899705
Polygon,2022-12-14,Quickswap,6755,1333,835494.7506,123.6853813,29.74522819
Polygon,2022-12-14,SushiSwap,64107,24446,30717295.29,479.1566489,2.224077864
Polygon,2022-12-14,Sushiswap,1,1,1.420627296,1.420627296,1.420627296
Polygon,2022-12-14,Uniswap,8771,4222,9186791.968,1047.405309,26.00984131
Solana,2022-12-14,Jupiter,176932,4998,14825532.45,83.79226172,1.002294534
Solana,2022-12-14,Orca,2549,458,729523.5017,286.199883,10.99919704
Solana,2022-12-14,Raydium,3061,1062,293453.9993,95.86867014,17.30750181
Solana,2022-12-14,Saber,109,24,1617931.918,14843.41209,39.5336401
THORChain,2022-12-14,THORChain,19247,532,22933643.51,791.3883679,437.3123517
Algorand,2022-12-15,Algofi,1413,65,70686.61319,47.28201551,4.839707107
Algorand,2022-12-15,FXDX,43,12,25383.93064,590.3239683,160.2788942
Algorand,2022-12-15,Humble,244,38,68495.47148,280.7191454,332.0887025
Algorand,2022-12-15,Pact,1507,70,64999.43337,38.89852386,4.709111597
Algorand,2022-12-15,Tinyman,10037,910,573027.082,57.09146976,2.438103279
Arbitrum,2022-12-15,1inch Network,2868,1157,2818322.774,982.6787914,98.12666902
Arbitrum,2022-12-15,Camelot,386,165,119891.817,310.6005622,63.03117844
Arbitrum,2022-12-15,Fraxswap,15,10,15628.07099,1041.871399,977.2778149
Arbitrum,2022-12-15,GMX,1379,698,1218128.906,883.3422086,26.46238684
Arbitrum,2022-12-15,Layer2dao,1,1,19231.05682,19231.05682,19231.05682
Arbitrum,2022-12-15,Nitroshiba,1,1,124.1878127,124.1878127,124.1878127
Arbitrum,2022-12-15,Others,10268,2300,12001632.42,1168.838373,367.9857529
Arbitrum,2022-12-15,Rage Trade,66,52,748.1520964,11.33563782,4.006748263
Arbitrum,2022-12-15,Sumswap,9,6,1525.028607,169.4476229,106.6648364
Arbitrum,2022-12-15,SushiSwap,27541,10773,17142759.31,622.4450569,1.395451327
Arbitrum,2022-12-15,Uniswap,27242,13400,11362459.17,417.0934282,0.103741629
Avalanche,2022-12-15,1inch Network,1406,324,3615693.721,2571.617156,502.3916535
Avalanche,2022-12-15,Alpha Nodes,28,18,1874741.074,66955.03836,89216.8238
Avalanche,2022-12-15,Beefy Finance,24,18,3567.739335,148.6558056,29.40721312
Avalanche,2022-12-15,Cycle Finance,1,1,5.39537858,5.39537858,5.39537858
Avalanche,2022-12-15,Etherstones,1,1,1.03E-10,1.03E-10,1.03E-10
Avalanche,2022-12-15,GMX,63,48,264608.4615,4200.13431,140.9661546
Avalanche,2022-12-15,Grape Finance,5,5,11.07348757,2.214697514,0.658997112
Avalanche,2022-12-15,Hakuswap,4,3,99.20942394,24.80235599,23.67049253
Avalanche,2022-12-15,Ihelp Protocol,1,1,2.28E-05,2.28E-05,2.28E-05
Avalanche,2022-12-15,Lydia Finance,35,8,839.4020169,23.98291477,4.321589154
Avalanche,2022-12-15,Others,2660,548,1610806.041,605.5661807,192.6335084
Avalanche,2022-12-15,Pangolin,1457,316,341801.4116,234.5925954,66.40655589
Avalanche,2022-12-15,Partyswap,1,1,2.02156195,2.02156195,2.02156195
Avalanche,2022-12-15,SushiSwap,5847,2121,3181191.389,544.0724114,60.93984357
Avalanche,2022-12-15,Trader Joe,8301,4445,1160234.244,139.7704185,6.26677387
Avalanche,2022-12-15,YakSwap,132,54,270819.0628,2051.659566,500.9280136
Avalanche,2022-12-15,Yetiswap,47,3,313.1689855,6.663169904,3.856720628
Avalanche,2022-12-15,Yieldwolf,2,1,0.189110361,0.094555181,0.094555181
BSC,2022-12-15,Biswap,2239,1205,1011245.883,451.6506845,52.92296328
BSC,2022-12-15,Bodatoken,1,1,0.548679446,0.548679446,0.548679446
BSC,2022-12-15,Brewlabs,2,2,0.125154426,0.062577213,0.062577213
BSC,2022-12-15,Cake Monster,2,2,355.6754211,177.8377106,177.8377106
BSC,2022-12-15,Catcoin,3,3,70.23269288,23.41089763,1.260631648
BSC,2022-12-15,Cerberus,1,1,7.19E-10,7.19E-10,7.19E-10
BSC,2022-12-15,Corsac V2,1,1,5.38E-05,5.38E-05,5.38E-05
BSC,2022-12-15,Crypter,1,1,1.032265342,1.032265342,1.032265342
BSC,2022-12-15,Crypto Chip Token,1,1,0.285751658,0.285751658,0.285751658
BSC,2022-12-15,Devolution Metaverse,1,1,14.41887484,14.41887484,14.41887484
BSC,2022-12-15,Do Token,1,1,880.8569052,880.8569052,880.8569052
BSC,2022-12-15,Doge Floki,1,1,7.013443618,7.013443618,7.013443618
BSC,2022-12-15,Dogeking,2,2,80.93309076,40.46654538,40.46654538
BSC,2022-12-15,Earnbusd,1,1,24.53958289,24.53958289,24.53958289
BSC,2022-12-15,Ecoin Finance,1,1,2.262216108,2.262216108,2.262216108
BSC,2022-12-15,Eroverse,19,19,4.540705724,0.238984512,0.209055084
BSC,2022-12-15,Everearn,3,2,792.823818,264.274606,263.7499841
BSC,2022-12-15,Evereth,2,2,0.443813928,0.221906964,0.221906964
BSC,2022-12-15,Evergrow,1,1,1.45939872,1.45939872,1.45939872
BSC,2022-12-15,Eversafu,1,1,1.209578521,1.209578521,1.209578521
BSC,2022-12-15,FatSwap,398,254,21984.6333,55.23777212,15.3063747
BSC,2022-12-15,Floki Rocket,1,1,0.040317977,0.040317977,0.040317977
BSC,2022-12-15,Floki Shiba,1,1,1.938537888,1.938537888,1.938537888
BSC,2022-12-15,Futura Finance,1,1,3.860051912,3.860051912,3.860051912
BSC,2022-12-15,Grimacecoin,1,1,3.24307676,3.24307676,3.24307676
BSC,2022-12-15,Hamster,12,12,0.252378174,0.021031514,0.013246314
BSC,2022-12-15,Hodl,9,9,39.20145537,4.355717264,3.486419643
BSC,2022-12-15,Kaiken Shiba,1,1,0.001694086,0.001694086,0.001694086
BSC,2022-12-15,Lil Floki,1,1,0.008576961,0.008576961,0.008576961
BSC,2022-12-15,Loop Network,10,7,486.4193438,48.64193438,25.36986426
BSC,2022-12-15,Luckyblock,1,1,25.25738101,25.25738101,25.25738101
BSC,2022-12-15,MDEX,4,3,195.8053212,48.95133031,43.87753409
BSC,2022-12-15,Meta Tigr,2,2,54.05857287,27.02928644,27.02928644
BSC,2022-12-15,Metacash,1,1,0.387810355,0.387810355,0.387810355
BSC,2022-12-15,Metallurgy,1,1,0.643941598,0.643941598,0.643941598
BSC,2022-12-15,Metapets,4,4,0.064514986,0.016128747,0.016119907
BSC,2022-12-15,Nomiswap,1482,765,3584686.427,2418.816753,150.0269771
BSC,2022-12-15,Orion,6244,27,6754900.556,1081.822639,465.9656656
BSC,2022-12-15,Others,52493,23485,20456561.72,389.7007548,49.88226549
BSC,2022-12-15,PancakeSwap,41171,12149,113551027.7,2758.034241,149.0476527
BSC,2022-12-15,Phoenixco,2,2,0.225134525,0.112567263,0.112567263
BSC,2022-12-15,Pige Inu,1,1,0.938298454,0.938298454,0.938298454
BSC,2022-12-15,Pumpeth,1,1,0.770191404,0.770191404,0.770191404
BSC,2022-12-15,Restore Truth,1,1,6.470765111,6.470765111,6.470765111
BSC,2022-12-15,Rewardeum,1,1,0.190929059,0.190929059,0.190929059
BSC,2022-12-15,Safehaven Defi,1,1,1.132184297,1.132184297,1.132184297
BSC,2022-12-15,Safemoon,11,10,930.3901444,84.58092221,84.45574322
BSC,2022-12-15,Safuu,77,49,66693.5328,866.1497767,69.52672415
BSC,2022-12-15,Sanji Inu,2,2,1.989681462,0.994840731,0.994840731
BSC,2022-12-15,Santa Floki,1,1,450.5495075,450.5495075,450.5495075
BSC,2022-12-15,Scrooge Coin,1,1,0.25877419,0.25877419,0.25877419
BSC,2022-12-15,Shield Network,1,1,0.106892429,0.106892429,0.106892429
BSC,2022-12-15,Standard In Gold,1,1,0.623515488,0.623515488,0.623515488
BSC,2022-12-15,SushiSwap,433594,158001,87163794.36,201.0262927,28.56757875
BSC,2022-12-15,Tarp,1,1,667.5607226,667.5607226,667.5607226
BSC,2022-12-15,Ten Wallet,1,1,7.805701024,7.805701024,7.805701024
BSC,2022-12-15,Transhuman Coin,2,2,2.266359173,1.133179586,1.133179586
BSC,2022-12-15,Tripcandy,1,1,42.6909684,42.6909684,42.6909684
BSC,2022-12-15,True Bnb,1,1,1.24044308,1.24044308,1.24044308
BSC,2022-12-15,Uland,1,1,0.074944456,0.074944456,0.074944456
BSC,2022-12-15,Utopia,1,1,0.044978921,0.044978921,0.044978921
BSC,2022-12-15,Volt Inu,2,2,5.92626047,2.963130235,2.963130235
BSC,2022-12-15,W3Swap,617,305,374378.4857,606.772262,222.4666449
BSC,2022-12-15,Waifer,1,1,3.365333421,3.365333421,3.365333421
BSC,2022-12-15,Walk With Step,2,1,299.0044996,149.5022498,149.5022498
BSC,2022-12-15,Wallstreet Finance,1,1,2.460960212,2.460960212,2.460960212
BSC,2022-12-15,Wana Moon,1,1,2.41E-05,2.41E-05,2.41E-05
BSC,2022-12-15,Y-5 Finance,4,4,0.036290272,0.009072568,0.009063279
BSC,2022-12-15,Zombie Inu,3,3,7.669600017,2.556533339,0.21838834
