Blockchain,Date,Blocks,Transactions,Users,Fees,FeeAverage,FeeMedian,Transactions/Block,TPS,Fees/Block
NEAR,2022-12-13,72008,426255,52243,1187.24581,0.002785295,0.001229853,5.919551,4.933507,0.016487693
Optimism,2022-12-13,512221,512221,45467,68588.16655,0.133903465,0.099164396,1,5.928484,0.133903465
Osmosis,2022-12-13,13900,66051,8108,285.4386706,0.004321489,0.002295866,4.751871,0.764479,0.020535156
Polygon,2022-12-13,39653,3214820,385811,80332.34106,0.02498813,0.007981464,81.073815,37.208565,2.025883062
Solana,2022-12-13,180566,29675496,101176,2427.6258,8.18E-05,6.71E-05,164.347086,343.466389,0.013444534
Algorand,2022-12-12,23226,763031,39733,225.218195,0.00027035,0.000217639,32.85245,8.831377,0.009696814
Arbitrum,2022-12-12,270666,652560,74179,29137.82117,0.044651559,0.029204852,2.410942,7.552778,0.107652314
Avalanche,2022-12-12,42313,144168,29730,12665.16078,0.087850014,0.040939631,3.40718,1.668611,0.299320795
Axelar,2022-12-12,6020,60423,1835,382.1592375,0.006324731,0.004763163,10.037043,0.69934,0.063481601
BSC,2022-12-12,27998,3109846,1093122,511742.9327,0.164555715,0.062154104,111.073862,35.993588,18.27783887
Cosmos,2022-12-12,11724,41561,16452,5960.224654,0.143409077,0.021499407,3.544951,0.48103,0.508378084
Ethereum,2022-12-12,7144,1181440,489356,2627712.466,2.224160741,0.980827882,165.37514,13.674074,367.8208938
Flow,2022-12-12,62401,364013,1281,7.196603675,1.98E-05,1.40E-05,5.833448,4.213113,0.000115328
Gnosis,2022-12-12,27998,3109846,1093122,1829.267551,0.000588218,0.000222175,111.073862,35.993588,0.065335651
NEAR,2022-12-12,71416,439349,92409,1188.956423,0.002706178,0.00113781,6.151969,5.085058,0.01664832
Optimism,2022-12-12,448816,448816,44268,52341.0496,0.116620285,0.090918093,1,5.19463,0.116620285
