Blockchain,Day,Hour,Blocks,Transactions,Users,Fees
Optimism,1.Monday,13,43945,43945,7159,4709.151718
Flow,1.Monday,13,5255,39438,262,0.766475506
NEAR,1.Monday,13,5874,81600,29472,183.8413302
Gnosis,1.Monday,13,2346,378310,171329,230.9024074
Algorand,1.Monday,13,1932,64317,3281,21.62429469
Osmosis,1.Monday,13,1173,4745,1103,19.982988
Avalanche,1.Monday,13,3559,12498,3899,1046.956132
Solana,1.Monday,13,15685,2183973,14800,173.6742923
Ethereum,1.Monday,13,594,94252,41007,192865.2732
Axelar,1.Monday,13,257,3041,255,18.96213176
BSC,1.Monday,13,2346,378310,171329,65791.61636
Solana,1.Monday,14,15564,2371621,16376,185.5940924
Arbitrum,1.Monday,14,27696,74900,12100,3261.446185
BSC,1.Monday,14,2372,360205,158653,62787.74633
Gnosis,1.Monday,14,2372,360205,158653,220.2498418
Avalanche,1.Monday,14,3552,12729,4008,1109.249625
Flow,1.Monday,14,5263,36828,302,0.677785341
Axelar,1.Monday,14,245,2214,242,15.26276778
Optimism,1.Monday,14,42722,42722,7098,5537.498755
Cosmos,1.Monday,14,1005,3660,1797,117.6735861
Ethereum,1.Monday,14,597,102771,48117,240045.0678
Algorand,1.Monday,14,1938,99043,4900,30.44779945
Osmosis,1.Monday,14,1174,5601,1195,22.4248064
NEAR,1.Monday,14,5964,59606,20904,154.6673804
Polygon,1.Monday,14,3403,298759,72367,3417.068769
Ethereum,1.Monday,15,588,100273,44873,291441.3941
Arbitrum,1.Monday,15,27024,71890,11826,4013.887306
Gnosis,1.Monday,15,2355,345201,159862,208.1526005
NEAR,1.Monday,15,6070,42563,9985,140.6985767
Optimism,1.Monday,15,33908,33908,6518,5747.094029
Avalanche,1.Monday,15,3572,13657,4175,1263.270713
Algorand,1.Monday,15,1948,129096,5602,35.83980215
Axelar,1.Monday,15,281,3128,299,17.53457406
Cosmos,1.Monday,15,1037,4128,1972,173.5059771
Flow,1.Monday,15,5295,36442,308,0.793904077
Osmosis,1.Monday,15,1185,6163,1240,23.90764069
Solana,1.Monday,15,15571,2463561,16814,199.3340496
BSC,1.Monday,15,2355,345201,159862,59334.55017
Polygon,1.Monday,15,3408,287604,57935,5268.878905
Algorand,1.Monday,16,1941,83590,5767,25.63769853
Arbitrum,1.Monday,16,25344,61132,9522,3550.972995
Avalanche,1.Monday,16,3561,12433,3852,1017.139834
Osmosis,1.Monday,16,1176,6037,1238,24.48343172
Ethereum,1.Monday,16,581,97009,44979,291396.3108
BSC,1.Monday,16,2349,315716,152326,53106.70762
NEAR,1.Monday,16,6101,40310,8378,126.0757315
Optimism,1.Monday,16,27487,27487,5292,4620.271912
Cosmos,1.Monday,16,1025,4579,2164,150.4083739
Gnosis,1.Monday,16,2349,315716,152326,186.3596179
Axelar,1.Monday,16,328,2420,293,15.50888358
Flow,1.Monday,16,5279,36093,241,0.587095685
Solana,1.Monday,16,15510,2391245,17540,183.3734061
Polygon,1.Monday,16,3368,279168,59146,3497.175023
Arbitrum,1.Monday,17,24862,58695,8396,3034.279328
