Blockchain,Day,Hour,Swaps,Swappers,Volume,AmountAverage,AmountMedian
THORChain,1.Monday,0,1448,43,1135520.073,483.2000312,366.1079906
Flow,1.Monday,0,30,14,11041.13802,262.8842387,17.81103075
BSC,1.Monday,0,32246,16061,16215544.81,502.8699623,52.8967205
Algorand,1.Monday,0,1090,133,41609.23742,37.38475959,2.308350448
Solana,1.Monday,0,18436,698,528794.4329,28.67959827,0.745659995
Optimism,1.Monday,0,2908,782,7262236.678,2497.330357,59.86135366
Arbitrum,1.Monday,0,3757,1456,5764998.224,1534.468518,59.71716625
NEAR,1.Monday,0,93,27,45136.26879,451.3626879,35.06447176
Ethereum,1.Monday,0,4532,207,116214364.4,19801.39111,880.1996628
Polygon,1.Monday,0,7272,2383,6107195.159,839.8233167,29.35278012
Avalanche,1.Monday,0,1684,673,2136146.12,1268.495321,106.1730419
Gnosis,1.Monday,0,170,41,12161.06435,71.53567262,3.001712998
Osmosis,1.Monday,0,1340,469,348200.6299,259.8512163,24.58517114
Gnosis,1.Monday,1,113,43,2941.480099,26.03079734,1.77492577
Solana,1.Monday,1,14727,536,340239.7168,23.10312465,0.100166358
Osmosis,1.Monday,1,976,448,193611.4298,198.3723666,8.742359211
Arbitrum,1.Monday,1,3451,1529,2968974.993,860.3230927,10.87014347
Polygon,1.Monday,1,5262,2412,2408930.814,457.7975702,7.723211325
BSC,1.Monday,1,27348,15118,12832938.34,469.2459537,46.21677328
Avalanche,1.Monday,1,1274,635,550707.0388,432.2661215,42.66636363
Flow,1.Monday,1,18,16,3438.623153,95.51730982,50.08335278
THORChain,1.Monday,1,664,44,603226.3837,561.140822,367.7258691
Algorand,1.Monday,1,978,129,49107.34325,49.15649975,2.289977445
Ethereum,1.Monday,1,3361,157,46539392.05,10904.26243,507.2450439
Optimism,1.Monday,1,2913,1514,2985862.239,1025.012784,52.09295456
NEAR,1.Monday,1,63,27,24635.641,315.8415512,26.915859
Ethereum,1.Monday,2,4704,241,64999083.45,10482.03249,778.4
Avalanche,1.Monday,2,1891,739,2457288.103,1299.464888,67.61269477
Flow,1.Monday,2,42,13,19026.90359,226.510757,26.38347668
Solana,1.Monday,2,12825,500,816533.9247,63.61280186,1.001590491
Algorand,1.Monday,2,2006,122,158111.6861,76.90257106,4.149963019
Arbitrum,1.Monday,2,5092,2113,5993969.512,1177.134625,12.16724822
Osmosis,1.Monday,2,1258,419,404164.6914,321.2755893,32.52214615
Polygon,1.Monday,2,7687,2854,6178169.522,803.7166023,27.9027405
Gnosis,1.Monday,2,191,69,19506.88854,102.1303065,2.326478469
Optimism,1.Monday,2,4234,1434,6912530.689,1632.624159,27.84086655
BSC,1.Monday,2,33480,16742,13180363.35,393.6787143,55.05662314
NEAR,1.Monday,2,287,60,231562.5957,603.0275931,29.25239021
THORChain,1.Monday,2,1185,61,1208967.028,637.6408374,406.0900806
THORChain,1.Monday,3,1447,52,1141258.682,541.9082062,399.4805093
Arbitrum,1.Monday,3,5550,2372,5143457.823,926.7491573,3.466174198
Algorand,1.Monday,3,1167,147,224636.7146,185.4968742,6.894128304
Avalanche,1.Monday,3,2085,704,1248662.985,598.8791297,150.3105036
Optimism,1.Monday,3,4185,1384,7349827.263,1756.231126,32.99695748
Osmosis,1.Monday,3,584,209,197735.6434,338.5884305,15.96655912
Flow,1.Monday,3,34,12,12048.46639,194.3301031,0.649965893
Solana,1.Monday,3,13893,664,980896.5233,70.55794298,1.20088921
BSC,1.Monday,3,38374,19527,18573689.84,484.0175598,54.09208504
NEAR,1.Monday,3,255,40,212993.8153,684.8675734,34.72635849
Gnosis,1.Monday,3,237,42,9248.791168,39.02443531,1.905242588
Polygon,1.Monday,3,8393,3072,5493139.216,654.4905536,26.33603683
Ethereum,1.Monday,3,4399,183,47262401.93,8562.029336,681.3068541
Algorand,1.Monday,4,711,146,52090.81928,71.65174591,4.449872082
Osmosis,1.Monday,4,741,242,174168.5629,235.0452941,19.48139681
Avalanche,1.Monday,4,1178,619,599712.715,509.0939856,44.85712244
THORChain,1.Monday,4,584,50,472594.2106,476.4054543,350.0492762
Ethereum,1.Monday,4,3445,178,54583295.32,12516.23374,526.5
Flow,1.Monday,4,14,12,5268.339097,239.469959,18.34502884
Arbitrum,1.Monday,4,7121,3484,10886379.54,1528.771175,12.38756915
BSC,1.Monday,4,33240,17931,14666793.92,441.2392877,49.43218617
NEAR,1.Monday,4,120,39,147434.9559,989.4963484,26.67761326
Solana,1.Monday,4,6418,585,730566.753,113.7422938,5.436189726
Optimism,1.Monday,4,3898,1628,2317193.598,594.4570545,22.67466267
Gnosis,1.Monday,4,116,44,3020.774322,26.04115795,0.862617878
Polygon,1.Monday,4,5369,2698,2507488.35,467.0307972,6.218530786
Osmosis,1.Monday,5,699,208,122956.6383,175.9036313,13.43200249
Flow,1.Monday,5,3,3,788.4147714,197.1036928,16.34146617
BSC,1.Monday,5,33481,17911,11974885.8,357.6621307,48.79517745
Solana,1.Monday,5,4324,608,584945.8678,135.1850862,2.165469067
Optimism,1.Monday,5,3469,1619,1584326.788,456.7099417,22.07729821
Gnosis,1.Monday,5,69,33,1162.513215,16.84801761,2.354340231
Arbitrum,1.Monday,5,5937,3010,3960566.577,667.0989687,6.221278138
Algorand,1.Monday,5,725,128,43127.31129,58.35901392,2.101955369
Ethereum,1.Monday,5,3335,170,97906707.56,23614.73892,558.6696999
NEAR,1.Monday,5,160,38,51692.00722,282.4699848,33.91150648
Avalanche,1.Monday,5,1199,624,612781.9739,511.0775429,21.4869461
Polygon,1.Monday,5,4614,2305,1844510.55,399.7638816,7.224767871
THORChain,1.Monday,5,935,51,799990.6523,630.9074545,414.3002775
Ethereum,1.Monday,6,3084,161,22344006.49,5802.131002,381.1351698
Algorand,1.Monday,6,713,114,25457.8664,35.1627989,3.040595289
NEAR,1.Monday,6,134,49,153538.1401,908.509705,34.96802414
Osmosis,1.Monday,6,414,209,40947.55908,98.90714754,7.643876915
Gnosis,1.Monday,6,92,38,3006.612975,32.68057582,1.456140729
BSC,1.Monday,6,35065,19201,14467185.39,412.5819305,47.97510432
Arbitrum,1.Monday,6,6309,3718,3051318.6,483.6453637,1.0002662
THORChain,1.Monday,6,519,44,647552.1846,801.4259711,414.0749454
Polygon,1.Monday,6,4875,2420,1794599.779,368.1230317,5.789008173
Avalanche,1.Monday,6,1324,682,602354.3665,454.9504278,62.75079877
Solana,1.Monday,6,5357,606,533777.0077,99.62243519,1.246703479
Flow,1.Monday,6,10,9,5052.125913,297.1838772,64.71033429
Optimism,1.Monday,6,4903,2141,2264028.125,461.7638435,21.55653015
THORChain,1.Monday,7,895,56,779250.6767,605.0082894,384.8647133
Avalanche,1.Monday,7,1234,672,405284.1475,328.4312379,37.18571662
Algorand,1.Monday,7,644,92,28398.44432,42.32256978,6.661862931
BSC,1.Monday,7,38917,20622,12153793.13,312.3003604,44.2932
Ethereum,1.Monday,7,3227,174,39788423.55,9573.730402,422.8486938
Arbitrum,1.Monday,7,7830,4524,3247018.97,414.6895236,0.275724101
Gnosis,1.Monday,7,76,41,992.6653731,13.06138649,1.549994597
Solana,1.Monday,7,4917,638,389668.0109,79.21691622,1.01693116
Polygon,1.Monday,7,4540,2430,2112044.652,465.208073,8.037718578
Osmosis,1.Monday,7,606,249,123675.5434,204.085055,11.34273271
NEAR,1.Monday,7,97,34,72050.09705,541.730053,24.86057462
Flow,1.Monday,7,17,11,5061.496925,202.459877,11.36726879
Optimism,1.Monday,7,4603,2206,1721510.978,373.9976054,21.99645934
Osmosis,1.Monday,8,928,265,270711.5827,291.7150675,45.46300696
Flow,1.Monday,8,24,15,12762.58153,311.2824763,28.36727377
Polygon,1.Monday,8,5388,2682,2558589.14,474.868066,9.033570954
Avalanche,1.Monday,8,1779,734,850168.3034,477.8911205,93.48763265
BSC,1.Monday,8,41769,21156,15116706.12,361.9120907,42.6627673
Gnosis,1.Monday,8,60,34,1173.778729,19.56297881,3.256132551
NEAR,1.Monday,8,70,35,164471.6385,1912.460913,26.17753569
Optimism,1.Monday,8,5544,2825,2464443.332,444.5244105,22.98895815
THORChain,1.Monday,8,660,45,743442.3206,704.684664,372.0727662
Ethereum,1.Monday,8,3711,194,103481645.6,21345.22393,504.0722388
Algorand,1.Monday,8,635,117,29471.49861,45.06345354,2.807538792
Solana,1.Monday,8,8346,683,456666.3954,54.70368896,5.088307969
Arbitrum,1.Monday,8,9288,4911,5627481.923,605.8873733,1.162041021
Polygon,1.Monday,9,5228,2709,2657244.29,508.2716699,5.954326541
Arbitrum,1.Monday,9,6807,3123,4499451.672,661.0036244,7.433060885
Flow,1.Monday,9,24,16,16722.17094,407.8578279,56.82326402
Solana,1.Monday,9,21833,662,456485.276,20.90804177,0.508402033
BSC,1.Monday,9,42171,21617,11763937.06,278.9579821,38.30024943
Avalanche,1.Monday,9,1772,755,621722.1054,350.8589759,39.97561171
THORChain,1.Monday,9,650,67,761372.1405,680.4040577,399.5813306
Optimism,1.Monday,9,3697,1887,1850167.618,500.4510733,21.6145151
NEAR,1.Monday,9,103,46,32368.20712,239.7644971,29.8802715
Ethereum,1.Monday,9,3595,188,75728909.51,16509.4636,592.16
Algorand,1.Monday,9,606,104,8277.635252,13.48149064,3.970113469
Osmosis,1.Monday,9,654,274,274455.6165,419.656906,14.75505619
Gnosis,1.Monday,9,289,73,23734.9422,82.12782769,7.509520852
Arbitrum,1.Monday,10,7151,3510,5339810.483,746.7222043,5.499599304
Ethereum,1.Monday,10,3281,198,96634489.02,23403.84815,452.4063611
NEAR,1.Monday,10,201,40,146866.5732,617.0864422,55.75707699
Solana,1.Monday,10,4674,720,339272.8275,72.55620776,1.010860685
THORChain,1.Monday,10,714,55,712326.057,649.9325338,382.2002628
Optimism,1.Monday,10,3375,1725,1543464.378,457.3227786,20.99913193
BSC,1.Monday,10,40607,21531,14789321.88,364.2062176,37.26510368
Algorand,1.Monday,10,544,97,11296.66174,20.50210843,2.230614395
Avalanche,1.Monday,10,1399,701,342485.1225,244.8070926,32.44920771
Flow,1.Monday,10,27,21,6874.658889,118.5286015,36.29375278
Gnosis,1.Monday,10,175,63,18516.9838,105.811336,2.230586853
Osmosis,1.Monday,10,608,275,144520.9224,237.6988856,11.56599272
Polygon,1.Monday,10,5755,2879,2392814.429,415.780092,7.146118227
Arbitrum,1.Monday,11,6339,3551,2698695.305,425.7288696,1.250332751
Algorand,1.Monday,11,474,108,20848.65462,43.70787133,2.129110987
Gnosis,1.Monday,11,61,39,4258.010385,69.80344894,8.349417861
Flow,1.Monday,11,31,18,22071.7808,319.8808811,59.60011764
BSC,1.Monday,11,42995,22254,16270289.83,378.4228359,35.71177256
Osmosis,1.Monday,11,392,232,54612.01746,139.3163711,9.800609722
NEAR,1.Monday,11,320,63,313181.2476,667.7638542,18.04288219
Optimism,1.Monday,11,3957,2058,1661887.263,419.9866724,21.88466646
Solana,1.Monday,11,3991,671,425424.2377,106.5691978,1.016669346
Polygon,1.Monday,11,6123,3032,3977973.437,649.6771904,11.46216493
Avalanche,1.Monday,11,1532,733,791703.3944,516.7776726,41.90057721
Ethereum,1.Monday,11,3809,173,39749272.78,8359.468513,401.5873825
THORChain,1.Monday,11,439,50,435828.2132,612.9792028,399.5402752
BSC,1.Monday,12,69903,34557,30140950.63,431.1825048,32.37596341
THORChain,1.Monday,12,1289,50,1445752.697,656.2654095,414.3588015
NEAR,1.Monday,12,150,37,190320.9929,971.025474,31.38030764
Solana,1.Monday,12,7034,781,606733.3448,86.20820472,3.915513669
Polygon,1.Monday,12,7488,3430,4508878.852,602.1472826,17.82265421
Gnosis,1.Monday,12,182,64,9813.581041,53.92077495,1.050683044
Optimism,1.Monday,12,5432,2411,4178374.088,769.2146702,20.9978152
Ethereum,1.Monday,12,4413,239,83444520.84,14522.19298,517.7087993
Flow,1.Monday,12,25,15,10852.47114,230.9036413,64.16371201
Algorand,1.Monday,12,671,134,28976.73754,41.69314755,3.122062045
Arbitrum,1.Monday,12,7621,3656,5009356.962,657.3096657,1.257491618
Avalanche,1.Monday,12,1802,830,547242.5433,303.6862061,50.07655319
Osmosis,1.Monday,12,563,237,159477.8324,283.2643559,17.80687103
Arbitrum,1.Monday,13,7349,3620,4393239.705,597.8010212,1.107244266
Avalanche,1.Monday,13,1490,841,653339.7403,438.4830472,26.03757726
Algorand,1.Monday,13,814,134,50172.10461,57.66908575,3.752923426
BSC,1.Monday,13,59454,30924,24977753.29,420.1189707,34.27319894
Solana,1.Monday,13,6019,783,841648.9119,139.6927655,6.240039255
Flow,1.Monday,13,26,18,36101.3019,582.2790629,260.7638537
Polygon,1.Monday,13,6661,3344,3126638.931,469.3948253,8.898548182
NEAR,1.Monday,13,106,46,199594.4975,1523.622118,28.91565365
Ethereum,1.Monday,13,4386,236,99701676.74,17445.61273,527.2163546
Gnosis,1.Monday,13,251,73,14008.73157,55.81167955,2.365857876
Osmosis,1.Monday,13,552,268,90942.00939,164.750017,9.782043689
THORChain,1.Monday,13,1956,83,2483907.332,765.2209895,417.5866056
Optimism,1.Monday,13,4168,2181,3270491.669,784.6669073,22.90930063
NEAR,1.Monday,14,150,55,576171.7872,3131.368409,23.92410189
Solana,1.Monday,14,8594,844,1142168.062,132.7330693,10.02102237
Algorand,1.Monday,14,1750,181,113380.6528,62.50311622,3.236654151
Polygon,1.Monday,14,8041,3380,5826313.203,724.5756999,30.57643403
Flow,1.Monday,14,47,19,9553.121351,134.5510049,69.91758546
BSC,1.Monday,14,57964,30296,22435236.94,387.0546708,33.31165818
Osmosis,1.Monday,14,763,302,193696.0167,253.8610965,16.99841493
Avalanche,1.Monday,14,1920,932,777054.4091,404.7158381,52.69622353
THORChain,1.Monday,14,1744,82,1841112.488,672.921231,407.3160974
Gnosis,1.Monday,14,90,48,16964.85078,188.498342,11.88392036
Ethereum,1.Monday,14,4641,215,129603719.6,21658.37559,707.405
Optimism,1.Monday,14,4478,1780,7136245.456,1593.623371,28.36888876
Arbitrum,1.Monday,14,8017,3512,7727722.872,963.9170353,4.88323913
THORChain,1.Monday,15,1033,86,2175586.904,1235.426975,417.7769231
NEAR,1.Monday,15,91,41,208327.6585,1984.072938,20.94042194
Solana,1.Monday,15,5987,932,750485.8009,125.1226744,9.699852714
Algorand,1.Monday,15,1051,203,45304.4903,42.22226496,2.388142054
Polygon,1.Monday,15,7069,3427,2950866.719,417.4376459,6.907659358
Optimism,1.Monday,15,3359,1621,2515748.281,748.9575116,20.99662028
Gnosis,1.Monday,15,125,69,46200.09363,369.6007491,3.329453699
Osmosis,1.Monday,15,869,294,155958.928,179.4694224,12.60425366
BSC,1.Monday,15,53594,29827,24120443.79,450.0586593,23.80622856
Flow,1.Monday,15,37,17,7374.868985,139.1484714,65.04879343
Avalanche,1.Monday,15,1646,858,461313.5893,280.26342,27.36505456
Arbitrum,1.Monday,15,6542,3176,5270167.155,805.5895988,1.250332751
Ethereum,1.Monday,15,4829,223,81164192.77,12984.19337,599.8916254
THORChain,1.Monday,16,1613,69,1564263.705,599.1052106,403.3382019
Flow,1.Monday,16,51,12,10904.22637,139.797774,55.68759991
NEAR,1.Monday,16,157,51,93345.87651,507.3145462,66.77118823
Solana,1.Monday,16,8069,905,593416.3905,73.47899833,5.008296889
Gnosis,1.Monday,16,140,71,8307.228222,59.33734444,3.117484564
Optimism,1.Monday,16,3893,1527,5811430.949,1492.789866,24.93690969
Osmosis,1.Monday,16,739,276,398546.0908,539.3045883,16.681099
Polygon,1.Monday,16,8803,3796,6010965.758,682.8315072,15.10909592
Ethereum,1.Monday,16,5086,218,72517066.65,11025.85778,745.13
Arbitrum,1.Monday,16,7168,3394,10812089.23,1508.382985,6.374633928
Algorand,1.Monday,16,2147,185,96991.03492,43.90721364,4.959298267
BSC,1.Monday,16,46844,22733,17502988.45,373.6441903,41.28984405
Avalanche,1.Monday,16,1807,851,642947.7196,355.809474,52.70646388
THORChain,1.Monday,17,1559,87,1629783.974,628.2898898,399.5932979
Flow,1.Monday,17,60,14,3632.028454,37.83362973,2.00868619
Gnosis,1.Monday,17,216,83,13079.57124,60.55357053,2.697099653
Avalanche,1.Monday,17,2072,923,1160391.278,560.0344005,49.81844722
Optimism,1.Monday,17,3439,1395,4118685.943,1197.640577,25.99781866
Osmosis,1.Monday,17,837,409,89205.46433,106.5776157,5.476070983
Arbitrum,1.Monday,17,7193,3284,6419618.999,892.4814402,1.816740634
Ethereum,1.Monday,17,5274,242,67627234.41,9866.827314,631.915
NEAR,1.Monday,17,239,55,144311.4272,513.563798,13.4909776
BSC,1.Monday,17,39774,18601,20417791.4,513.3451854,41.74889924
Solana,1.Monday,17,9205,986,874902.1434,94.91236096,5.028407416
Polygon,1.Monday,17,7823,3431,6281673.668,802.975031,15.86714353
Algorand,1.Monday,17,3128,234,144154.6574,44.62992489,7.137380341
Avalanche,1.Monday,18,1969,846,572724.1531,290.8705704,47.94009396
THORChain,1.Monday,18,1342,69,1558474.482,717.8601944,399.1931022
Polygon,1.Monday,18,7530,3183,3531526.369,468.9942056,17.6366031
Osmosis,1.Monday,18,1549,483,2150945.58,1388.602699,27.85061167
Flow,1.Monday,18,29,13,6710.399495,145.8782499,104.8530417
BSC,1.Monday,18,34919,16010,16692447.05,478.0333643,44.71173171
Ethereum,1.Monday,18,5328,233,97030590.29,14260.81574,617.103169
Gnosis,1.Monday,18,115,58,8300.1799,72.17547739,3.357339298
NEAR,1.Monday,18,251,53,190014.1356,646.3065838,25.65940794
Arbitrum,1.Monday,18,5863,2873,5421106.033,924.6300584,1.665746799
Solana,1.Monday,18,7621,899,583042.8837,76.47466996,7.87487679
Algorand,1.Monday,18,1245,185,81655.29334,63.39696688,4.051545547
Optimism,1.Monday,18,3048,1205,3750330.007,1230.423231,23.49235386
THORChain,1.Monday,19,1503,68,2046817.693,947.6007836,417.6016983
Algorand,1.Monday,19,1591,168,99122.70041,60.33031066,3.876259815
Flow,1.Monday,19,32,19,9005.288785,157.9875225,87.93868055
Arbitrum,1.Monday,19,5158,2340,3969063.912,769.4966872,1.457309476
Osmosis,1.Monday,19,917,530,132177.0812,144.1407646,5.170214042
BSC,1.Monday,19,34818,15389,16695849.9,479.5177753,39.33921043
Solana,1.Monday,19,5566,954,576464.6998,103.5317349,5.117553801
NEAR,1.Monday,19,141,44,306924.5994,1837.871853,1.489956041
Polygon,1.Monday,19,6466,2808,3160686.138,488.816291,13.43944886
Gnosis,1.Monday,19,134,83,7273.434766,54.27936392,6.708888214
Ethereum,1.Monday,19,5168,255,72088764.28,10481.06488,563.0085223
Optimism,1.Monday,19,2560,1101,2306416.35,900.9438869,21.27757796
Avalanche,1.Monday,19,1640,714,710068.6882,432.9687123,31.05221396
Avalanche,1.Monday,20,1577,831,638788.0371,405.0653374,26.82990401
NEAR,1.Monday,20,189,44,296029.8557,1402.985098,0.542689118
Ethereum,1.Monday,20,5205,224,71105027.74,10577.95712,630.895123
Polygon,1.Monday,20,7986,3403,5812428.787,727.8272961,27.69180002
Flow,1.Monday,20,15,9,2842.290349,118.4287645,107.3784947
Optimism,1.Monday,20,2529,984,2567336.938,1015.158931,22.38519677
Gnosis,1.Monday,20,213,97,20291.3939,95.26476009,2.1697001
Algorand,1.Monday,20,1623,159,70639.13199,42.12232081,3.140581477
Arbitrum,1.Monday,20,4160,1915,4526521.998,1088.106249,9.9699026
BSC,1.Monday,20,28630,13397,17101664.24,597.3337144,45.77281984
Osmosis,1.Monday,20,854,442,131268.9203,153.7106795,6.34056118
THORChain,1.Monday,20,643,62,769621.6351,675.1066975,399.4786633
Solana,1.Monday,20,6903,819,662374.3246,95.84348496,4.913855903
Gnosis,1.Monday,21,243,74,14977.24294,61.63474459,2.60928684
Ethereum,1.Monday,21,5295,215,92091728.72,13340.82699,788.7167037
Flow,1.Monday,21,18,15,8457.901005,248.7617943,125.4243058
Polygon,1.Monday,21,7972,2904,6135797.804,769.6685654,28.45483824
BSC,1.Monday,21,28118,12992,17726180.36,630.4210953,51.94277382
THORChain,1.Monday,21,1372,85,1475053.704,649.517263,399.5911737
Optimism,1.Monday,21,3078,1099,4333585.187,1407.922413,25.08923686
Avalanche,1.Monday,21,1772,831,609193.106,343.7884346,31.89030999
NEAR,1.Monday,21,222,46,69197.01577,279.0202249,16.15530805
Solana,1.Monday,21,16649,769,778576.1466,46.75009887,0.84454488
Algorand,1.Monday,21,969,154,72348.42665,72.4208475,3.488720941
Osmosis,1.Monday,21,1057,371,124516.5273,117.468422,10.09326252
Arbitrum,1.Monday,21,4255,1808,6722272.045,1579.852419,53.355837
NEAR,1.Monday,22,337,45,267930.3618,610.3197307,27.03621583
Arbitrum,1.Monday,22,5186,1733,9518373.031,1835.397808,172.6897448
Ethereum,1.Monday,22,5446,244,82090215.78,11614.34858,757.06
Polygon,1.Monday,22,8703,2836,9177345.822,1054.503714,83.92455573
Flow,1.Monday,22,36,12,18034.15564,198.1775345,219.6521542
BSC,1.Monday,22,30362,13104,17281016.7,569.165954,59.62030486
Algorand,1.Monday,22,2057,158,168005.9023,77.52925812,4.85060031
THORChain,1.Monday,22,1655,70,1678393.125,648.5290283,399.9714792
Osmosis,1.Monday,22,1001,386,115312.5469,115.1973496,9.485653074
Optimism,1.Monday,22,3182,919,5514201.242,1732.935651,25.54448101
Solana,1.Monday,22,19952,590,566327.1009,28.33760825,0.506064096
Gnosis,1.Monday,22,267,80,10882.41271,40.75810003,1.37312058
Avalanche,1.Monday,22,2766,978,1023622.221,370.0731094,47.98764927
BSC,1.Monday,23,23722,11979,14608074.3,615.8028118,49.27996226
THORChain,1.Monday,23,1037,53,1243252.363,775.5785172,397.5303532
Algorand,1.Monday,23,708,78,29659.08068,41.25045992,1.773372853
NEAR,1.Monday,23,111,32,138225.3105,1031.532168,71.93942734
Solana,1.Monday,23,3451,383,280181.8631,81.1886013,0.725603473
Polygon,1.Monday,23,5078,2118,3565425.683,702.1318792,34.574419
Avalanche,1.Monday,23,1608,756,498160.4769,309.8012916,38.87825231
Arbitrum,1.Monday,23,3800,1529,4695992.011,1235.787371,42.27212474
Ethereum,1.Monday,23,2444,128,19349972.29,6109.87442,406.26
Optimism,1.Monday,23,2002,726,3007498.135,1502.246821,33.46030778
Osmosis,1.Monday,23,813,336,376769.1797,463.4307254,12.28266811
Flow,1.Monday,23,15,9,1600.455325,69.58501411,50.01423597
Gnosis,1.Monday,23,127,55,2041.290071,16.07315017,1.628351173
Avalanche,2.Tuesday,0,624,359,293552.3031,470.4363832,39.66069104
Algorand,2.Tuesday,0,340,65,11066.04019,32.07547881,1.367969252
Polygon,2.Tuesday,0,2458,1221,1798799.104,731.8141189,22.27893331
Optimism,2.Tuesday,0,1074,383,1485563.086,1383.205853,21.2877451
Arbitrum,2.Tuesday,0,1601,764,2982665.375,1863.001483,35.66661468
BSC,2.Tuesday,0,15166,8876,7811869.466,515.0909578,34.24569087
Gnosis,2.Tuesday,0,73,28,1862.656278,25.51583943,0.665695395
Osmosis,2.Tuesday,0,719,306,316323.0938,439.94867,12.91290687
NEAR,2.Tuesday,0,43,14,10827.63664,235.3834052,50.98824347
THORChain,2.Tuesday,0,307,27,288365.4835,558.8478362,417.8833552
Flow,2.Tuesday,0,10,6,3163.001534,225.928681,48.68613496
Solana,2.Tuesday,0,5473,383,409342.1492,74.77934768,2.002017417
Ethereum,2.Tuesday,0,2447,146,26612420.05,8371.318039,495.1672434
THORChain,2.Tuesday,1,279,24,255118.8492,581.1363308,415.9839327
Polygon,2.Tuesday,1,2556,1584,1280821.951,501.1040496,6.679483156
Arbitrum,2.Tuesday,1,1763,819,2807510.74,1592.462133,6.494512045
Flow,2.Tuesday,1,3,2,377.4527091,125.8175697,92.28594733
NEAR,2.Tuesday,1,32,14,38188.96091,1091.113169,18.26758612
Osmosis,2.Tuesday,1,465,237,142608.4322,306.6848004,11.78328835
Avalanche,2.Tuesday,1,514,318,203542.0223,395.9961523,53.05634877
Ethereum,2.Tuesday,1,2058,159,19330388.64,7114.607522,433.95
Gnosis,2.Tuesday,1,55,23,2166.203635,39.38552064,4.371810835
Optimism,2.Tuesday,1,1272,538,1320944.424,1038.478321,22.99149343
Algorand,2.Tuesday,1,535,60,6870.061369,12.81727867,1.576672981
Solana,2.Tuesday,1,3722,331,304906.5648,81.78824163,1.077441925
BSC,2.Tuesday,1,19427,10573,13068228.94,672.6838389,45.1540075
Avalanche,2.Tuesday,2,593,361,635875.5799,1072.302833,75.79426091
Arbitrum,2.Tuesday,2,2221,1177,1342963.234,604.6660216,6.494512045
Polygon,2.Tuesday,2,2459,1417,1251318.558,508.8729395,9.403711914
Ethereum,2.Tuesday,2,2031,142,23105189.1,8788.58467,584.85
Gnosis,2.Tuesday,2,35,20,291.3384534,8.323955811,2.999708914
Osmosis,2.Tuesday,2,587,194,214504.9766,365.4258544,10.05158612
BSC,2.Tuesday,2,23657,11862,11673299.81,493.439566,49.66989798
Flow,2.Tuesday,2,6,5,1163.609917,129.2899908,0.425802259
Algorand,2.Tuesday,2,276,47,19025.93194,67.70794284,4.720181746
Optimism,2.Tuesday,2,1757,861,1391811.636,792.1523257,25.92435031
Solana,2.Tuesday,2,5670,339,345772.5003,60.93981323,1.340811655
THORChain,2.Tuesday,2,435,30,692985.6062,1040.518928,463.9198404
NEAR,2.Tuesday,2,47,21,48323.09217,911.756456,32.92531556
Solana,2.Tuesday,3,7293,301,397178.3785,54.45275274,0.500768607
Algorand,2.Tuesday,3,380,66,20481.5293,52.24879923,4.78447487
Osmosis,2.Tuesday,3,449,185,251759.7971,560.7122429,25.35172301
Arbitrum,2.Tuesday,3,2629,1264,1321106.917,502.5130915,1.53486769
THORChain,2.Tuesday,3,402,27,354371.3137,528.1241635,417.9697054
Gnosis,2.Tuesday,3,27,14,941.8051652,34.88167279,3.373215554
Polygon,2.Tuesday,3,2280,1119,1435519.502,629.6138165,28.72998721
NEAR,2.Tuesday,3,69,20,15701.59971,203.9168793,50.82624169
Optimism,2.Tuesday,3,2647,1186,850744.7071,321.3995871,27.98964418
Avalanche,2.Tuesday,3,688,386,471081.8547,684.7119981,69.89803884
Flow,2.Tuesday,3,4,4,3430.732734,686.1465469,868.8605275
Ethereum,2.Tuesday,3,2282,139,26825602.29,9059.642787,483.081988
BSC,2.Tuesday,3,22761,11314,11138549.4,489.3699488,53.88050874
Solana,2.Tuesday,4,9148,314,361237.8918,39.47955102,0.500740079
Ethereum,2.Tuesday,4,2221,157,38500944.59,13037.90877,604.95
Optimism,2.Tuesday,4,1933,932,1336905.595,691.6221393,32.51743184
Polygon,2.Tuesday,4,2718,1125,1655195.732,608.9756187,29.77834813
BSC,2.Tuesday,4,22103,11760,15795386.45,714.6263609,53.88050874
Osmosis,2.Tuesday,4,524,190,143558.7508,273.9670817,35.40266551
Algorand,2.Tuesday,4,550,89,41725.05644,72.18867896,2.284262964
Avalanche,2.Tuesday,4,694,356,602403.571,868.016673,61.22615449
THORChain,2.Tuesday,4,707,28,603469.2042,583.6259228,416.5950234
Flow,2.Tuesday,4,4,3,1311.9322,262.3864401,47.69871851
Arbitrum,2.Tuesday,4,2078,1268,1516110.574,729.6008536,25.3096259
Gnosis,2.Tuesday,4,150,33,1880.345626,12.5356375,0.320333918
NEAR,2.Tuesday,4,49,19,20792.35478,371.2920496,74.26827479
Osmosis,2.Tuesday,5,379,172,51308.40067,135.3783659,14.87435281
NEAR,2.Tuesday,5,25,15,37140.69438,1428.488246,30.64120172
Optimism,2.Tuesday,5,1889,1005,1194228.054,632.2011931,21.61131508
Polygon,2.Tuesday,5,2213,1056,1130968.495,511.0567081,19.22108875
BSC,2.Tuesday,5,18636,11002,11273444.71,604.9283488,47.0349735
Solana,2.Tuesday,5,1726,304,378953.0382,219.5556421,20.01333681
Arbitrum,2.Tuesday,5,2114,1234,1303706.191,616.7011312,40.64213
